category	image	question	gt	pred
artwork	15028.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	11331.txt	Is this artwork created by donatello? Please answer yes or no.	Yes	No
artwork	12652.txt	Is this artwork displayed in palazzo ducale, mantua? Please answer yes or no.	No	Yes
artwork	10581.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	portrait
artwork	28345.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	701.txt	Does this artwork exist in the form of others? Please answer yes or no.	No	Yes
artwork	38993.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	34638.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	18604.txt	Is this artwork created by hardouin-mansart, jules? Please answer yes or no.	Yes	No
artwork	15246.txt	Is this artwork displayed in abbey church of sainte-foy, conques (aveyron)? Please answer yes or no.	No	Yes
artwork	12439.txt	Is this artwork created by koekkoek, barend cornelis? Please answer yes or no.	No	Yes
artwork	8101.txt	Is this artwork displayed in museu de arte, são paulo? Please answer yes or no.	Yes	No
artwork	8101.txt	Is this artwork displayed in national széchényi library, budapest? Please answer yes or no.	No	Yes
artwork	21048.txt	Is this artwork created by kneller, sir godfrey? Please answer yes or no.	No	Yes
artwork	27936.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	20442.txt	Is this artwork created by kucharski, aleksander? Please answer yes or no.	Yes	No
artwork	20442.txt	Is this artwork created by pourbus, frans the elder? Please answer yes or no.	No	Yes
artwork	16911.txt	Is this artwork created by gossart, jan? Please answer yes or no.	Yes	No
artwork	28758.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	18566.txt	Is this artwork created by hamen, juan van der? Please answer yes or no.	Yes	No
artwork	34539.txt	Is this artwork titled a sunday afternoon on the ile de la grande jatte? Please answer yes or no.	No	Yes
artwork	36805.txt	Is this artwork titled weir? Please answer yes or no.	Yes	No
artwork	18926.txt	Is this artwork created by herring, john frederick the younger? Please answer yes or no.	Yes	No
artwork	33069.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	8885.txt	Is this artwork displayed in museo civico d'arte antica, turin? Please answer yes or no.	No	Yes
artwork	34363.txt	Is this artwork displayed in state tretyakov gallery, moscow? Please answer yes or no.	No	Yes
artwork	19993.txt	Is this artwork displayed in private collection? Please answer yes or no.	Yes	No
artwork	19993.txt	Is this artwork displayed in cathedral of st paul, liège? Please answer yes or no.	No	Yes
artwork	35439.txt	Is this artwork titled garden in fontenay? Please answer yes or no.	No	Yes
artwork	12561.txt	Is this artwork created by eberlein, gustav heinrich? Please answer yes or no.	Yes	No
artwork	34627.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	landscape
artwork	3085.txt	Is this artwork created by bartsius, willem? Please answer yes or no.	Yes	No
artwork	20437.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	17823.txt	Is this artwork created by landseer, sir edwin henry? Please answer yes or no.	No	Yes
artwork	42857.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	15232.txt	Is this artwork created by giordano, luca? Please answer yes or no.	Yes	luca giordano
artwork	33854.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	37439.txt	Is this artwork titled the message? Please answer yes or no.	Yes	No
artwork	1060.txt	Is this artwork created by gentile da fabriano? Please answer yes or no.	No	Yes
artwork	17317.txt	Is this artwork created by coriolano, cristoforo? Please answer yes or no.	No	Yes
artwork	526.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	25492.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	3552.txt	Is this artwork titled peter gillis? Please answer yes or no.	No	Yes
artwork	42987.txt	Is this artwork created by witz, konrad? Please answer yes or no.	Yes	No
artwork	12133.txt	Is this artwork titled self-portrait aged 78? Please answer yes or no.	No	Yes
artwork	15989.txt	Is this artwork displayed in cathedral museum, zamora? Please answer yes or no.	No	Yes
artwork	12902.txt	Is this artwork displayed in musée national gustave-moreau, paris? Please answer yes or no.	No	Yes
artwork	3114.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	19452.txt	Is this artwork titled the lovesick maiden (detail)? Please answer yes or no.	No	Yes
artwork	5906.txt	Is this artwork created by pellegrino da san daniele? Please answer yes or no.	No	Yes
artwork	23427.txt	Is this artwork displayed in national gallery of victoria, melbourne? Please answer yes or no.	No	Yes
artwork	21097.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	16006.txt	Is this artwork displayed in cathedral of san geminiano, modena? Please answer yes or no.	No	Yes
artwork	43175.txt	Is this artwork displayed in smith college museum of art, northampton? Please answer yes or no.	No	Yes
artwork	42905.txt	Is this artwork created by vittone, bernardo antonio? Please answer yes or no.	No	Yes
artwork	6478.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	34669.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
celebrity	tt0118883_shot_0691_img_1.txt	Is the actor inside the red bounding box called Julia Roberts? Please answer yes or no.	Yes	No
celebrity	tt0118971_shot_0679_img_0.txt	Is the actor inside the red bounding box called Charlize Theron? Please answer yes or no.	Yes	No
celebrity	tt0068646_shot_0166_img_0.txt	Is the actor inside the red bounding box called Voltaire Sterling? Please answer yes or no.	No	Yes
celebrity	tt0119528_shot_0761_img_1.txt	Is the actor inside the red bounding box named Jim Carrey? Please answer yes or no.	Yes	No
celebrity	tt0075148_shot_0618_img_0.txt	Is the actor inside the red bounding box called Sylvester Stallone? Please answer yes or no.	Yes	No
celebrity	tt0075148_shot_0618_img_0.txt	Is the actor inside the red bounding box called Eric Hatch? Please answer yes or no.	No	Yes
celebrity	tt0088993_shot_0569_img_0.txt	Is the actor inside the red bounding box called George A. Romero? Please answer yes or no.	Yes	No
celebrity	tt0090605_shot_0344_img_0.txt	Is the person inside the red bounding box called Lia Beldam? Please answer yes or no.	No	Yes
celebrity	tt0094737_shot_0567_img_0.txt	Is the person inside the red bounding box called Chris McHallem? Please answer yes or no.	No	Yes
celebrity	tt0070735_shot_0818_img_0.txt	Is the person inside the red bounding box named Robert Redford? Please answer yes or no.	Yes	No
celebrity	tt0101410_shot_0105_img_0.txt	Is the person inside the red bounding box named David Gore? Please answer yes or no.	No	Yes
celebrity	tt0070849_shot_0021_img_1.txt	Is the person inside the red bounding box named Maria Schneider? Please answer yes or no.	Yes	No
celebrity	tt0052357_shot_0511_img_0.txt	Is the actor inside the red bounding box called Abigail Van Alyn? Please answer yes or no.	No	Yes
celebrity	tt0079470_shot_0798_img_0.txt	Is the person inside the red bounding box named Eric Idle? Please answer yes or no.	Yes	No
celebrity	tt0103064_shot_2602_img_1.txt	Is the person inside the red bounding box named Arnold Schwarzenegger? Please answer yes or no.	Yes	No
celebrity	tt0119643_shot_0330_img_0.txt	Is the actor inside the red bounding box named Brad Pitt? Please answer yes or no.	Yes	No
celebrity	tt0073629_shot_0700_img_0.txt	Is the person inside the red bounding box named Barry Bostwick? Please answer yes or no.	Yes	No
celebrity	tt0073629_shot_0700_img_0.txt	Is the person inside the red bounding box named Johnny Galecki? Please answer yes or no.	No	Yes
celebrity	tt0049730_shot_0273_img_0.txt	Is the person inside the red bounding box called Addie Yungmee? Please answer yes or no.	No	Yes
celebrity	tt0074119_shot_0814_img_0.txt	Is the actor inside the red bounding box called Robert Redford? Please answer yes or no.	Yes	No
celebrity	tt0119094_shot_0446_img_2.txt	Is the actor inside the red bounding box called Nicolas Cage? Please answer yes or no.	Yes	No
celebrity	tt0079417_shot_0735_img_0.txt	Is the actor inside the red bounding box called Meryl Streep? Please answer yes or no.	Yes	No
celebrity	tt0067116_shot_0122_img_0.txt	Is the actor inside the red bounding box called Gene Hackman? Please answer yes or no.	Yes	No
celebrity	tt0067116_shot_0122_img_0.txt	Is the actor inside the red bounding box called Russell G. Jones? Please answer yes or no.	No	Yes
celebrity	tt0099685_shot_1132_img_0.txt	Is the actor inside the red bounding box called Chick Allan? Please answer yes or no.	No	Yes
celebrity	tt0086250_shot_1079_img_0.txt	Is the actor inside the red bounding box called Bill Nunn? Please answer yes or no.	No	Yes
celebrity	tt0103776_shot_0719_img_0.txt	Is the person inside the red bounding box called Michael Keaton? Please answer yes or no.	Yes	No
celebrity	tt0080684_shot_1574_img_2.txt	Is the actor inside the red bounding box called Mark Hamill? Please answer yes or no.	Yes	No
celebrity	tt0118749_shot_0795_img_0.txt	Is the person inside the red bounding box called Chris Lowell? Please answer yes or no.	No	Yes
celebrity	tt0119528_shot_0171_img_0.txt	Is the person inside the red bounding box called Jim Carrey? Please answer yes or no.	Yes	No
celebrity	tt0119528_shot_0171_img_0.txt	Is the person inside the red bounding box called Eliot Paton? Please answer yes or no.	No	Yes
celebrity	tt0077651_shot_0133_img_0.txt	Is the person inside the red bounding box called Paris Arrowsmith? Please answer yes or no.	No	Yes
celebrity	tt0093565_shot_0409_img_0.txt	Is the actor inside the red bounding box named Cher? Please answer yes or no.	Yes	No
celebrity	tt0066026_shot_0085_img_0.txt	Is the person inside the red bounding box called Donald Sutherland? Please answer yes or no.	Yes	No
celebrity	tt0066026_shot_0085_img_0.txt	Is the person inside the red bounding box called Michael Wollet? Please answer yes or no.	No	Yes
celebrity	tt0111280_shot_0258_img_0.txt	Is the actor inside the red bounding box named Gates McFadden? Please answer yes or no.	Yes	No
celebrity	tt0097576_shot_1010_img_2.txt	Is the actor inside the red bounding box named M. Emmet Walsh? Please answer yes or no.	No	Yes
celebrity	tt0095250_shot_0509_img_0.txt	Is the actor inside the red bounding box named Jean Reno? Please answer yes or no.	Yes	No
celebrity	tt0117060_shot_1401_img_0.txt	Is the actor inside the red bounding box called Jean Reno? Please answer yes or no.	Yes	No
celebrity	tt0118571_shot_0627_img_0.txt	Is the actor inside the red bounding box called Arlene Farber? Please answer yes or no.	No	Yes
celebrity	tt0096895_shot_0819_img_1.txt	Is the person inside the red bounding box called Michael Keaton? Please answer yes or no.	Yes	No
celebrity	tt0105695_shot_1436_img_1.txt	Is the person inside the red bounding box called Jaimz Woolvett? Please answer yes or no.	Yes	No
celebrity	tt0096754_shot_0570_img_1.txt	Is the person inside the red bounding box named Todd Graff? Please answer yes or no.	Yes	No
celebrity	tt0095765_shot_0008_img_0.txt	Is the actor inside the red bounding box called Antonella Attili? Please answer yes or no.	Yes	No
celebrity	tt0100403_shot_0517_img_0.txt	Is the person inside the red bounding box called Alfred Tiaki Hotu? Please answer yes or no.	No	Yes
celebrity	tt0064115_shot_0367_img_0.txt	Is the actor inside the red bounding box named Robert Redford? Please answer yes or no.	Yes	No
celebrity	tt0117381_shot_0798_img_1.txt	Is the person inside the red bounding box called Edward Norton? Please answer yes or no.	Yes	No
celebrity	tt0090022_shot_0464_img_0.txt	Is the actor inside the red bounding box called Robert Ryan? Please answer yes or no.	No	Yes
celebrity	tt0083866_shot_0364_img_0.txt	Is the actor inside the red bounding box called Robert MacNaughton? Please answer yes or no.	Yes	No
celebrity	tt0104257_shot_0477_img_0.txt	Is the person inside the red bounding box named Jack Nicholson? Please answer yes or no.	Yes	No
celebrity	tt0103064_shot_1206_img_0.txt	Is the actor inside the red bounding box named Arnold Schwarzenegger? Please answer yes or no.	Yes	No
celebrity	tt0038650_shot_0737_img_1.txt	Is the person inside the red bounding box called Phil Selway? Please answer yes or no.	No	Yes
celebrity	tt0118655_shot_1152_img_2.txt	Is the actor inside the red bounding box called Seth Green? Please answer yes or no.	Yes	No
celebrity	tt0115798_shot_0844_img_1.txt	Is the person inside the red bounding box named Renee Herlocker? Please answer yes or no.	No	Yes
celebrity	tt0077402_shot_1220_img_0.txt	Is the person inside the red bounding box named Scott H. Reiniger? Please answer yes or no.	Yes	No
celebrity	tt0078841_shot_0692_img_0.txt	Is the actor inside the red bounding box named Shirley MacLaine? Please answer yes or no.	Yes	No
celebrity	tt0119314_shot_0572_img_0.txt	Is the actor inside the red bounding box called Scarlett Johansson? Please answer yes or no.	Yes	No
celebrity	tt0119314_shot_0572_img_0.txt	Is the actor inside the red bounding box called Daisy Beaumont? Please answer yes or no.	No	Yes
celebrity	tt0083907_shot_0633_img_0.txt	Is the actor inside the red bounding box named Bruce Campbell? Please answer yes or no.	Yes	No
celebrity	tt0049470_shot_0279_img_0.txt	Is the person inside the red bounding box called Matt Pashkow? Please answer yes or no.	No	Yes
celebrity	tt0113101_shot_0547_img_0.txt	Is the person inside the red bounding box named Tim Roth? Please answer yes or no.	Yes	No
celebrity	tt0096874_shot_0647_img_0.txt	Is the actor inside the red bounding box named Michael J. Fox? Please answer yes or no.	Yes	No
celebrity	tt0098724_shot_0474_img_0.txt	Is the person inside the red bounding box named Andie MacDowell? Please answer yes or no.	Yes	No
celebrity	tt0118689_shot_0969_img_2.txt	Is the actor inside the red bounding box called Jack Shields? Please answer yes or no.	No	Yes
celebrity	tt0089218_shot_0327_img_0.txt	Is the person inside the red bounding box named Sean Astin? Please answer yes or no.	Yes	No
code_reasoning	0020.txt	Is a c++ code shown in the picture? Please answer yes or no.	No	Yes
code_reasoning	0014.txt	The image shows a python code. Is the output of the code '7'? Please answer yes or no.	Yes	No
code_reasoning	0014.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0013.txt	The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.	Yes	No
code_reasoning	0013.txt	The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.	No	Yes
code_reasoning	0009.txt	The image shows a python code. Is the output of the code '36'? Please answer yes or no.	Yes	No
code_reasoning	0009.txt	The image shows a python code. Is the output of the code '6'? Please answer yes or no.	No	Yes
code_reasoning	0003.txt	The image shows a python code. Is the output of the code '12'? Please answer yes or no.	Yes	No
code_reasoning	0003.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
code_reasoning	0007.txt	Is a python code shown in the picture? Please answer yes or no.	No	Yes
code_reasoning	0019.txt	The image shows a python code. Is the output of the code 'the list has less than 2 numbers'? Please answer yes or no.	No	Yes
code_reasoning	0002.txt	The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.	Yes	No
code_reasoning	0002.txt	The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.	No	Yes
code_reasoning	0005.txt	The image shows a python code. Is the output of the code '12'? Please answer yes or no.	Yes	No
code_reasoning	0005.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
code_reasoning	0006.txt	The image shows a python code. Is the output of the code '0'? Please answer yes or no.	Yes	No
code_reasoning	0006.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0001.txt	The image shows a python code. Is the output of the code 'World'? Please answer yes or no.	No	Yes
code_reasoning	0016.txt	The image shows a python code. Is the output of the code 'x is larger than 10'? Please answer yes or no.	No	Yes
code_reasoning	0011.txt	The image shows a python code. Is the output of the code '0'? Please answer yes or no.	Yes	No
code_reasoning	0011.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0004.txt	The image shows a python code. Is the output of the code '2'? Please answer yes or no.	No	Yes
code_reasoning	0008.txt	The image shows a python code. Is the output of the code '12345'? Please answer yes or no.	No	Yes
code_reasoning	0018.txt	The image shows a python code. Is the output of the code '11'? Please answer yes or no.	Yes	No
code_reasoning	0018.txt	The image shows a python code. Is the output of the code '12'? Please answer yes or no.	No	Yes
code_reasoning	0010.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
color	000000427034.txt	Is there a brown and white dog in the image? Please answer yes or no.	No	Yes
color	000000370208.txt	Is there a red bicycle with black handlebars in the image? Please answer yes or no.	No	Yes
color	000000530457.txt	Are there any green flowers in the image? Please answer yes or no.	No	Yes
commonsense_reasoning	0024.txt	I want to go skating. Is the shoe in the picture usually appropriate? Please answer yes or no.	Yes	No
commonsense_reasoning	0020.txt	Can the item in the picture be used to measure angles? Please answer yes or no.	No	Yes
commonsense_reasoning	0036.txt	Is it a good time to walk through the road in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0014.txt	In this line chart, the vertical axis is height and the horizontal axis is age. Does Jane's height exceed Kangkang's height in the end? Please answer yes or no.	No	Yes
commonsense_reasoning	0056.txt	Can the item in picture be used for blowing air? Please answer yes or no.	No	Yes
commonsense_reasoning	0038.txt	All apples are shown in the picture. If I eat an apple every day, can I eat it for three days? Please answer yes or no.	No	Yes
commonsense_reasoning	0039.txt	This line chart is used to count the sales of two types of burgers. Are beef burgers more popular? Please answer yes or no.	No	Yes
commonsense_reasoning	0009.txt	Will green be obtained by mixing the above two colors? Please answer yes or no.	Yes	No
commonsense_reasoning	0030.txt	I'm going to 502. Do I need to turn left at the intersection? Please answer yes or no.	No	Yes
commonsense_reasoning	0040.txt	I want to supplement protein. Is it appropriate to eat the food in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0021.txt	This is a toilet guide sign. I am a man. Should I go to the toilet on the left? Please answer yes or no.	Yes	No
commonsense_reasoning	0023.txt	Is the appliance in the picture more suitable for winter than summer? Please answer yes or no.	No	winter
commonsense_reasoning	0047.txt	All apples are shown in the picture. My brother and I divide the apples equally. May I have two apples? Please answer yes or no.	No	Yes
commonsense_reasoning	0007.txt	I want to clean the house and I want to choose a tool. Is the tool in the picture an appropriate choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0062.txt	It's snowing outside the window now. I want to go out. Is it appropriate to wear the cloth in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0032.txt	Here is a picture of the cake I cut. Did I cut it at least once? Please answer yes or no.	No	Yes
commonsense_reasoning	0041.txt	Is the fruit in the picture usually sweet? Please answer yes or no.	Yes	No
commonsense_reasoning	0041.txt	Is the fruit in the picture usually spicy? Please answer yes or no.	No	Yes
commonsense_reasoning	0059.txt	This pie chart is the age distribution of our company. Is the proportion of people aged 40-50 more than 30%? Please answer yes or no.	No	Yes
commonsense_reasoning	0015.txt	Is the ball usually played with feet? Please answer yes or no.	No	Yes
commonsense_reasoning	0017.txt	Does the vehicle in the picture usually run faster than the car? Please answer yes or no.	No	Yes
commonsense_reasoning	0012.txt	I am going to study and I want to choose a venue. Is the venue in the picture a good choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0060.txt	This is the histogram of fruit sales today. Do more men buy peach than women buy apple? Please answer yes or no.	No	Yes
commonsense_reasoning	0045.txt	There is a sign at the intersection, can I turn left? Please answer yes or no.	Yes	No
commonsense_reasoning	0005.txt	The office's normal closing time is 5 p.m. Now is afternoon. Could I leave work at the time shown in the picture? Please answer yes or no.	No	Yes
commonsense_reasoning	0051.txt	This is a flowchart of a program. When the input is 5, is the output 6? Please answer yes or no.	Yes	No
commonsense_reasoning	0001.txt	Here are the order details for my taxi ride. Should I actually pay $29.42? Please answer yes or no.	Yes	No
commonsense_reasoning	0053.txt	Is the car in the picture going to make a left turn after going through a straight road section? Please answer yes or no.	No	Yes
commonsense_reasoning	0064.txt	I want to play basketball. Is the venue in the picture a good choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0016.txt	Is the place in the picture a good shelter from the rain when it thunders outside? Please answer yes or no.	No	Yes
commonsense_reasoning	0011.txt	If I am allergic to durian, can I finish the fruit in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0069.txt	Is the phone in the photo charging? Please answer yes or no.	No	Yes
commonsense_reasoning	0008.txt	Can I smoke where the picture is? Please answer yes or no.	Yes	No
commonsense_reasoning	0008.txt	Is smoking prohibited in the location of the picture? Please answer yes or no.	No	Yes
commonsense_reasoning	0035.txt	This is the sales chart of this month. Is John the runner-up in sales this month? Please answer yes or no.	No	Yes
commonsense_reasoning	0010.txt	I am going to study and I want to choose a venue. Is the venue in the picture a good choice? Please answer yes or no.	No	Yes
commonsense_reasoning	0063.txt	Is the animal in the pictures usually stronger than adult tigers? Please answer yes or no.	No	Yes
commonsense_reasoning	0067.txt	I feel very hot. Is the tool in the picture suitable for use? Please answer yes or no.	Yes	No
commonsense_reasoning	0052.txt	I want to gain weight. Is the food in the picture an appropriate choice? Please answer yes or no.	No	Yes
commonsense_reasoning	0033.txt	This is a picture from a real scene. Is there only two real apples in this picture? Please answer yes or no.	No	Yes
count	000000430286.txt	Are there only two remotes in this image? Please answer yes or no.	No	Yes
count	000000432468.txt	Is there a zipper in the picture? Please answer yes or no.	No	Yes
count	000000097994.txt	Are there four laptops in the picture? Please answer yes or no.	No	Yes
count	000000410612.txt	Is there a total of two ships in the picture? Please answer yes or no.	No	Yes
count	000000276434.txt	Are there only two cakes in this image? Please answer yes or no.	No	Yes
count	000000438304.txt	Are there only one tennis racket in the picture? Please answer yes or no.	No	Yes
count	000000357816.txt	Are there five people in this image? Please answer yes or no.	No	Yes
count	000000236721.txt	Are there three bananas in the image? Please answer yes or no.	No	Yes
count	000000450303.txt	Are there seven people appear in this image? Please answer yes or no.	No	Yes
count	000000556000.txt	Are there only three people in the image? Please answer yes or no.	No	Yes
existence	000000009590.txt	Is there a bottle in this image? Please answer yes or no.	Yes	No
existence	000000537812.txt	Is there a chair in this image? Please answer yes or no.	Yes	No
landmark	00f4fb71575efb0b.txt	Is this a picture of 1965)? Please answer yes or no.	Yes	No
landmark	092d0859ff6424de.txt	Is this a photo of Kasteel Lunenburg? Please answer yes or no.	Yes	No
landmark	01e198bea8285816.txt	Is this an image of Hoher Markt, Vienna? Please answer yes or no.	No	Yes
landmark	0bd72080836eac97.txt	Is this a picture of Gouffre Berger? Please answer yes or no.	No	Yes
landmark	04ebe2885134597f.txt	Is this a picture of Imogiri? Please answer yes or no.	No	Yes
landmark	0e0511c6e33636ca.txt	Is this a picture of Victoria Stadium? Please answer yes or no.	Yes	No
landmark	0e0511c6e33636ca.txt	Is this a picture of Villa Belvedere (San Giuliano Terme)? Please answer yes or no.	No	Yes
landmark	10a944858a4283e0.txt	Is this a picture of Kartause Ittingen? Please answer yes or no.	No	Yes
landmark	06a85d0b5d70881d.txt	Is this an image of Jagdschloss Platte? Please answer yes or no.	No	Yes
landmark	06d039ff97afef04.txt	Is this a picture of Arch of Galerius (Thessaloniki)? Please answer yes or no.	Yes	No
landmark	11b6bb2c35f4ee22.txt	Is this an image of Ku-ring-gai Chase National Park? Please answer yes or no.	Yes	No
landmark	0237fc92f6b31aeb.txt	Is this a photo of St Thomas Rest Park? Please answer yes or no.	No	Yes
