category	image	question	gt	pred
artwork	39124.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	35513.txt	Is this artwork created by cassioli, amos? Please answer yes or no.	No	Yes
artwork	21712.txt	Is this artwork titled la finette? Please answer yes or no.	No	Yes
artwork	11276.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	11726.txt	Is this artwork titled in the forest of fontainebleau? Please answer yes or no.	No	Yes
artwork	33933.txt	Is this artwork titled the bacino di san marco? Please answer yes or no.	No	Yes
artwork	10543.txt	Is this artwork displayed in museo civico, pistoia? Please answer yes or no.	No	Yes
artwork	41484.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
artwork	4836.txt	Is this artwork displayed in palais saint-vaast, arras? Please answer yes or no.	No	Yes
artwork	24122.txt	Is this artwork displayed in museo correr, venice? Please answer yes or no.	Yes	No
artwork	19839.txt	Is this artwork created by janneck, franz christoph? Please answer yes or no.	Yes	No
artwork	19839.txt	Is this artwork created by goupil, jules-adolphe? Please answer yes or no.	No	Yes
artwork	12908.txt	Is this artwork titled ruth and boaz? Please answer yes or no.	Yes	No
artwork	15028.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	42303.txt	Is this artwork displayed in art museum, cincinnati? Please answer yes or no.	Yes	No
artwork	11331.txt	Is this artwork created by donatello? Please answer yes or no.	Yes	No
artwork	7702.txt	Is this artwork titled reine lefebvre and margot? Please answer yes or no.	Yes	No
artwork	12652.txt	Is this artwork displayed in palazzo ducale, mantua? Please answer yes or no.	No	Yes
artwork	10581.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	portrait
artwork	28345.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	701.txt	Does this artwork exist in the form of others? Please answer yes or no.	No	Yes
artwork	11724.txt	Is this artwork created by duccio di buoninsegna? Please answer yes or no.	Yes	No
artwork	38993.txt	Does this artwork exist in the form of illumination? Please answer yes or no.	No	Yes
artwork	34638.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	18604.txt	Is this artwork created by hardouin-mansart, jules? Please answer yes or no.	Yes	No
artwork	15246.txt	Is this artwork displayed in abbey church of sainte-foy, conques (aveyron)? Please answer yes or no.	No	Yes
artwork	12439.txt	Is this artwork created by koekkoek, barend cornelis? Please answer yes or no.	No	Yes
artwork	8101.txt	Is this artwork displayed in museu de arte, são paulo? Please answer yes or no.	Yes	No
artwork	8101.txt	Is this artwork displayed in national széchényi library, budapest? Please answer yes or no.	No	Yes
artwork	21469.txt	Does this artwork belong to the type of genre? Please answer yes or no.	Yes	impressionism
artwork	21048.txt	Is this artwork created by lemoyne, jean-baptiste ii? Please answer yes or no.	Yes	No
artwork	21048.txt	Is this artwork created by kneller, sir godfrey? Please answer yes or no.	No	Yes
artwork	20442.txt	Is this artwork created by kucharski, aleksander? Please answer yes or no.	Yes	No
artwork	20442.txt	Is this artwork created by pourbus, frans the elder? Please answer yes or no.	No	Yes
artwork	28758.txt	Does this artwork exist in the form of graphics? Please answer yes or no.	No	Yes
artwork	18566.txt	Is this artwork created by hamen, juan van der? Please answer yes or no.	Yes	No
artwork	36805.txt	Is this artwork titled weir? Please answer yes or no.	Yes	No
artwork	18926.txt	Is this artwork created by cozens, john robert? Please answer yes or no.	No	Yes
artwork	33069.txt	Does this artwork belong to the type of interior? Please answer yes or no.	No	Yes
artwork	8885.txt	Is this artwork displayed in museo civico d'arte antica, turin? Please answer yes or no.	No	Yes
artwork	34363.txt	Is this artwork displayed in state tretyakov gallery, moscow? Please answer yes or no.	No	Yes
artwork	19993.txt	Is this artwork displayed in private collection? Please answer yes or no.	Yes	No
artwork	19993.txt	Is this artwork displayed in cathedral of st paul, liège? Please answer yes or no.	No	Yes
artwork	35439.txt	Is this artwork titled garden in fontenay? Please answer yes or no.	No	Yes
artwork	12561.txt	Is this artwork created by eberlein, gustav heinrich? Please answer yes or no.	Yes	No
artwork	34627.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	landscape
artwork	3085.txt	Is this artwork created by bartsius, willem? Please answer yes or no.	Yes	No
artwork	3085.txt	Is this artwork created by oehme, ernst ferdinand? Please answer yes or no.	No	Yes
artwork	20437.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	17823.txt	Is this artwork created by landseer, sir edwin henry? Please answer yes or no.	No	Yes
artwork	42857.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	33854.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	37439.txt	Is this artwork titled the message? Please answer yes or no.	Yes	No
artwork	16538.txt	Is this artwork created by altdorfer, albrecht? Please answer yes or no.	No	Yes
artwork	9599.txt	Does this artwork exist in the form of ceramics? Please answer yes or no.	No	Yes
artwork	1060.txt	Is this artwork created by gentile da fabriano? Please answer yes or no.	No	Yes
artwork	17317.txt	Is this artwork created by coriolano, cristoforo? Please answer yes or no.	No	Yes
artwork	526.txt	Does this artwork exist in the form of tapestry? Please answer yes or no.	No	Yes
artwork	3552.txt	Is this artwork titled peter gillis? Please answer yes or no.	No	Yes
artwork	42987.txt	Is this artwork created by witz, konrad? Please answer yes or no.	Yes	No
artwork	12133.txt	Is this artwork titled self-portrait aged 78? Please answer yes or no.	No	Yes
artwork	15989.txt	Is this artwork displayed in cathedral museum, zamora? Please answer yes or no.	No	Yes
artwork	3114.txt	Does this artwork belong to the type of study? Please answer yes or no.	No	Yes
artwork	19452.txt	Is this artwork titled the lovesick maiden (detail)? Please answer yes or no.	No	Yes
artwork	5906.txt	Is this artwork created by pellegrino da san daniele? Please answer yes or no.	No	Yes
artwork	21097.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	16006.txt	Is this artwork displayed in cathedral of san geminiano, modena? Please answer yes or no.	No	Yes
artwork	42905.txt	Is this artwork created by vittone, bernardo antonio? Please answer yes or no.	No	Yes
artwork	6478.txt	Does this artwork belong to the type of genre? Please answer yes or no.	No	religious
artwork	34669.txt	Does this artwork belong to the type of historical? Please answer yes or no.	No	Yes
celebrity	tt0096320_shot_0085_img_0.txt	Is the actor inside the red bounding box called Dan Duran? Please answer yes or no.	No	Yes
celebrity	tt0061722_shot_0259_img_0.txt	Is the actor inside the red bounding box called Christopher Olsen? Please answer yes or no.	No	Yes
celebrity	tt0070511_shot_0639_img_0.txt	Is the person inside the red bounding box called Fernando Lueches? Please answer yes or no.	No	Yes
celebrity	tt0099423_shot_1010_img_0.txt	Is the person inside the red bounding box called Trevor Eve? Please answer yes or no.	No	Yes
celebrity	tt0056869_shot_0320_img_0.txt	Is the person inside the red bounding box called Denise Mack? Please answer yes or no.	No	Yes
celebrity	tt0068646_shot_0166_img_0.txt	Is the actor inside the red bounding box called Voltaire Sterling? Please answer yes or no.	No	Yes
celebrity	tt0119528_shot_0761_img_1.txt	Is the actor inside the red bounding box named Jim Carrey? Please answer yes or no.	Yes	No
celebrity	tt0070047_shot_0255_img_0.txt	Is the actor inside the red bounding box called Shawnee Smith? Please answer yes or no.	No	Yes
celebrity	tt0075148_shot_0618_img_0.txt	Is the actor inside the red bounding box called Eric Hatch? Please answer yes or no.	No	Yes
celebrity	tt0088993_shot_0569_img_0.txt	Is the actor inside the red bounding box called George A. Romero? Please answer yes or no.	Yes	No
celebrity	tt0090605_shot_0344_img_0.txt	Is the person inside the red bounding box called Lia Beldam? Please answer yes or no.	No	Yes
celebrity	tt0112384_shot_0878_img_0.txt	Is the person inside the red bounding box called Veronica Diaz Carranza? Please answer yes or no.	No	Yes
celebrity	tt0094737_shot_0567_img_0.txt	Is the person inside the red bounding box called Chris McHallem? Please answer yes or no.	No	Yes
celebrity	tt0101410_shot_0105_img_0.txt	Is the person inside the red bounding box named David Gore? Please answer yes or no.	No	Yes
celebrity	tt0079945_shot_1411_img_0.txt	Is the person inside the red bounding box named Alison Waddell? Please answer yes or no.	No	Yes
celebrity	tt0095016_shot_1170_img_0.txt	Is the actor inside the red bounding box called Paul Gleason? Please answer yes or no.	Yes	No
celebrity	tt0095016_shot_1170_img_0.txt	Is the actor inside the red bounding box called Carl Palmer? Please answer yes or no.	No	Yes
celebrity	tt0070849_shot_0021_img_1.txt	Is the person inside the red bounding box named Mary Kellogg? Please answer yes or no.	No	Yes
celebrity	tt0052357_shot_0511_img_0.txt	Is the actor inside the red bounding box called Abigail Van Alyn? Please answer yes or no.	No	Yes
celebrity	tt0117509_shot_0041_img_0.txt	Is the actor inside the red bounding box named Max Martini? Please answer yes or no.	No	Yes
celebrity	tt0119643_shot_0330_img_0.txt	Is the actor inside the red bounding box named Brad Pitt? Please answer yes or no.	Yes	No
celebrity	tt0073629_shot_0700_img_0.txt	Is the person inside the red bounding box named Johnny Galecki? Please answer yes or no.	No	Yes
celebrity	tt0074119_shot_0814_img_0.txt	Is the actor inside the red bounding box called Delroy Lindo? Please answer yes or no.	No	Yes
celebrity	tt0079417_shot_0735_img_0.txt	Is the actor inside the red bounding box called Meryl Streep? Please answer yes or no.	Yes	No
celebrity	tt0074285_shot_0535_img_1.txt	Is the person inside the red bounding box named Stephen Rider? Please answer yes or no.	No	Yes
celebrity	tt0067116_shot_0122_img_0.txt	Is the actor inside the red bounding box called Russell G. Jones? Please answer yes or no.	No	Yes
celebrity	tt0086250_shot_1079_img_0.txt	Is the actor inside the red bounding box called Bill Nunn? Please answer yes or no.	No	Yes
celebrity	tt0103776_shot_0719_img_0.txt	Is the person inside the red bounding box called Michael Keaton? Please answer yes or no.	Yes	No
celebrity	tt0080684_shot_1574_img_2.txt	Is the actor inside the red bounding box called Mark Hamill? Please answer yes or no.	Yes	No
celebrity	tt0118749_shot_0795_img_0.txt	Is the person inside the red bounding box called Chris Lowell? Please answer yes or no.	No	Yes
celebrity	tt0119528_shot_0171_img_0.txt	Is the person inside the red bounding box called Jim Carrey? Please answer yes or no.	Yes	No
celebrity	tt0119528_shot_0171_img_0.txt	Is the person inside the red bounding box called Eliot Paton? Please answer yes or no.	No	Yes
celebrity	tt0119738_shot_0201_img_0.txt	Is the person inside the red bounding box named Edwin Craig? Please answer yes or no.	No	Yes
celebrity	tt0112641_shot_0412_img_1.txt	Is the actor inside the red bounding box called Pierre Malherbe? Please answer yes or no.	No	Yes
celebrity	tt0077651_shot_0133_img_0.txt	Is the person inside the red bounding box called Paris Arrowsmith? Please answer yes or no.	No	Yes
celebrity	tt0114369_shot_1138_img_0.txt	Is the person inside the red bounding box named Brad Pitt? Please answer yes or no.	Yes	No
celebrity	tt0066026_shot_0085_img_0.txt	Is the person inside the red bounding box called Michael Wollet? Please answer yes or no.	No	Yes
celebrity	tt0111280_shot_0258_img_0.txt	Is the actor inside the red bounding box named Gates McFadden? Please answer yes or no.	Yes	No
celebrity	tt0097576_shot_1010_img_2.txt	Is the actor inside the red bounding box named M. Emmet Walsh? Please answer yes or no.	No	Yes
celebrity	tt0095250_shot_0509_img_0.txt	Is the actor inside the red bounding box named Jean Reno? Please answer yes or no.	Yes	No
celebrity	tt0118571_shot_0627_img_0.txt	Is the actor inside the red bounding box called Arlene Farber? Please answer yes or no.	No	Yes
celebrity	tt0096895_shot_0819_img_1.txt	Is the person inside the red bounding box called Michael Keaton? Please answer yes or no.	Yes	No
celebrity	tt0105695_shot_1436_img_1.txt	Is the person inside the red bounding box called Jaimz Woolvett? Please answer yes or no.	Yes	No
celebrity	tt0096754_shot_0570_img_1.txt	Is the person inside the red bounding box named Guy Carleton? Please answer yes or no.	No	Yes
celebrity	tt0100403_shot_0517_img_0.txt	Is the person inside the red bounding box called Alfred Tiaki Hotu? Please answer yes or no.	No	Yes
celebrity	tt0090022_shot_0464_img_0.txt	Is the actor inside the red bounding box called Robert Ryan? Please answer yes or no.	No	Yes
celebrity	tt0083866_shot_0364_img_0.txt	Is the actor inside the red bounding box called Robert MacNaughton? Please answer yes or no.	Yes	No
celebrity	tt0038650_shot_0737_img_1.txt	Is the person inside the red bounding box called Phil Selway? Please answer yes or no.	No	Yes
celebrity	tt0118655_shot_1152_img_2.txt	Is the actor inside the red bounding box called Seth Green? Please answer yes or no.	Yes	No
celebrity	tt0077402_shot_1220_img_0.txt	Is the person inside the red bounding box named Chris Delaney? Please answer yes or no.	No	Yes
celebrity	tt0119314_shot_0572_img_0.txt	Is the actor inside the red bounding box called Daisy Beaumont? Please answer yes or no.	No	Yes
celebrity	tt0049470_shot_0279_img_0.txt	Is the person inside the red bounding box called Matt Pashkow? Please answer yes or no.	No	Yes
celebrity	tt0062622_shot_0291_img_0.txt	Is the actor inside the red bounding box named Keir Dullea? Please answer yes or no.	Yes	No
celebrity	tt0102492_shot_0086_img_0.txt	Is the actor inside the red bounding box called Heidi Fischer? Please answer yes or no.	No	Yes
celebrity	tt0098724_shot_0474_img_0.txt	Is the person inside the red bounding box named Andie MacDowell? Please answer yes or no.	Yes	No
celebrity	tt0098724_shot_0474_img_0.txt	Is the person inside the red bounding box named Linda Taylor? Please answer yes or no.	No	Yes
celebrity	tt0099487_shot_0123_img_0.txt	Is the actor inside the red bounding box named Farrah Forke? Please answer yes or no.	No	Yes
code_reasoning	0020.txt	Is a c++ code shown in the picture? Please answer yes or no.	No	Yes
code_reasoning	0014.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0013.txt	The image shows a python code. Is the output of the code 'a cat'? Please answer yes or no.	Yes	No
code_reasoning	0013.txt	The image shows a python code. Is the output of the code 'a dog'? Please answer yes or no.	No	Yes
code_reasoning	0009.txt	The image shows a python code. Is the output of the code '36'? Please answer yes or no.	Yes	No
code_reasoning	0009.txt	The image shows a python code. Is the output of the code '6'? Please answer yes or no.	No	Yes
code_reasoning	0003.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
code_reasoning	0007.txt	Is a python code shown in the picture? Please answer yes or no.	No	Yes
code_reasoning	0015.txt	The image shows a python code. Is the output of the code '9'? Please answer yes or no.	No	Yes
code_reasoning	0019.txt	The image shows a python code. Is the output of the code 'the list has less than 2 numbers'? Please answer yes or no.	No	Yes
code_reasoning	0012.txt	The image shows a python code. Is the output of the code 'playing hard'? Please answer yes or no.	No	Yes
code_reasoning	0005.txt	The image shows a python code. Is the output of the code '12'? Please answer yes or no.	Yes	No
code_reasoning	0005.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
code_reasoning	0006.txt	The image shows a python code. Is the output of the code '0'? Please answer yes or no.	Yes	No
code_reasoning	0006.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0001.txt	The image shows a python code. Is the output of the code 'World'? Please answer yes or no.	No	Yes
code_reasoning	0016.txt	The image shows a python code. Is the output of the code 'x is larger than 10'? Please answer yes or no.	No	Yes
code_reasoning	0011.txt	The image shows a python code. Is the output of the code '0'? Please answer yes or no.	Yes	No
code_reasoning	0011.txt	The image shows a python code. Is the output of the code '1'? Please answer yes or no.	No	Yes
code_reasoning	0004.txt	The image shows a python code. Is the output of the code '2'? Please answer yes or no.	No	Yes
code_reasoning	0008.txt	The image shows a python code. Is the output of the code '12345'? Please answer yes or no.	No	Yes
code_reasoning	0018.txt	The image shows a python code. Is the output of the code '12'? Please answer yes or no.	No	Yes
code_reasoning	0010.txt	The image shows a python code. Is the output of the code '5'? Please answer yes or no.	No	Yes
color	000000512929.txt	Are there any green beans in the image? Please answer yes or no.	Yes	No
color	000000427034.txt	Is there a brown and white dog in the image? Please answer yes or no.	No	Yes
color	000000057597.txt	Are there any yellow shoes in the image? Please answer yes or no.	No	Yes
color	000000370208.txt	Is there a red bicycle with black handlebars in the image? Please answer yes or no.	No	Yes
color	000000530457.txt	Are there any green flowers in the image? Please answer yes or no.	No	Yes
commonsense_reasoning	0024.txt	I want to go skating. Is the shoe in the picture usually appropriate? Please answer yes or no.	Yes	No
commonsense_reasoning	0020.txt	Can the item in the picture be used to measure angles? Please answer yes or no.	No	Yes
commonsense_reasoning	0036.txt	Is it a good time to walk through the road in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0014.txt	In this line chart, the vertical axis is height and the horizontal axis is age. Does Jane's height exceed Kangkang's height in the end? Please answer yes or no.	No	Yes
commonsense_reasoning	0066.txt	I want to carry one thing with me on a rainy day. Is the thing in the image an appropriate choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0013.txt	I am going to play basketball. Is the shoe in the picture an appropriate choice? Please answer yes or no.	No	Yes
commonsense_reasoning	0038.txt	All apples are shown in the picture. If I eat an apple every day, can I eat it for three days? Please answer yes or no.	No	Yes
commonsense_reasoning	0039.txt	This line chart is used to count the sales of two types of burgers. Are beef burgers more popular? Please answer yes or no.	No	Yes
commonsense_reasoning	0009.txt	Will green be obtained by mixing the above two colors? Please answer yes or no.	Yes	No
commonsense_reasoning	0030.txt	I'm going to 502. Do I need to turn left at the intersection? Please answer yes or no.	No	Yes
commonsense_reasoning	0040.txt	I want to supplement protein. Is it appropriate to eat the food in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0021.txt	This is a toilet guide sign. I am a man. Should I go to the toilet on the left? Please answer yes or no.	Yes	No
commonsense_reasoning	0023.txt	Is the appliance in the picture more suitable for winter than summer? Please answer yes or no.	No	winter
commonsense_reasoning	0047.txt	All apples are shown in the picture. My brother and I divide the apples equally. May I have two apples? Please answer yes or no.	No	Yes
commonsense_reasoning	0003.txt	May I ask if in the game of finger-guessing game, did the right side of the picture win? Please answer yes or no.	Yes	No
commonsense_reasoning	0007.txt	I want to clean the house and I want to choose a tool. Is the tool in the picture an appropriate choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0062.txt	It's snowing outside the window now. I want to go out. Is it appropriate to wear the cloth in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0032.txt	Here is a picture of the cake I cut. Did I cut it at least once? Please answer yes or no.	No	Yes
commonsense_reasoning	0041.txt	Is the fruit in the picture usually sweet? Please answer yes or no.	Yes	No
commonsense_reasoning	0059.txt	This pie chart is the age distribution of our company. Is the proportion of people aged 40-50 more than 30%? Please answer yes or no.	No	Yes
commonsense_reasoning	0015.txt	Is the ball usually played with feet? Please answer yes or no.	No	Yes
commonsense_reasoning	0017.txt	Does the vehicle in the picture usually run faster than the car? Please answer yes or no.	No	Yes
commonsense_reasoning	0012.txt	I am going to study and I want to choose a venue. Is the venue in the picture a good choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0060.txt	This is the histogram of fruit sales today. Do more men buy peach than women buy apple? Please answer yes or no.	No	Yes
commonsense_reasoning	0045.txt	There is a sign at the intersection, can I turn left? Please answer yes or no.	Yes	No
commonsense_reasoning	0005.txt	The office's normal closing time is 5 p.m. Now is afternoon. Could I leave work at the time shown in the picture? Please answer yes or no.	No	Yes
commonsense_reasoning	0051.txt	This is a flowchart of a program. When the input is 5, is the output 6? Please answer yes or no.	Yes	No
commonsense_reasoning	0001.txt	Here are the order details for my taxi ride. Should I actually pay $29.42? Please answer yes or no.	Yes	No
commonsense_reasoning	0053.txt	Is the car in the picture going to make a left turn after going through a straight road section? Please answer yes or no.	No	Yes
commonsense_reasoning	0064.txt	I want to play basketball. Is the venue in the picture a good choice? Please answer yes or no.	Yes	No
commonsense_reasoning	0011.txt	If I am allergic to durian, can I finish the fruit in the picture? Please answer yes or no.	Yes	No
commonsense_reasoning	0069.txt	Is the phone in the photo charging? Please answer yes or no.	No	Yes
commonsense_reasoning	0008.txt	Can I smoke where the picture is? Please answer yes or no.	Yes	No
commonsense_reasoning	0008.txt	Is smoking prohibited in the location of the picture? Please answer yes or no.	No	Yes
commonsense_reasoning	0035.txt	This is the sales chart of this month. Is John the runner-up in sales this month? Please answer yes or no.	No	Yes
commonsense_reasoning	0010.txt	I am going to study and I want to choose a venue. Is the venue in the picture a good choice? Please answer yes or no.	No	Yes
commonsense_reasoning	0063.txt	Is the animal in the pictures usually stronger than adult tigers? Please answer yes or no.	No	Yes
commonsense_reasoning	0067.txt	I feel very hot. Is the tool in the picture suitable for use? Please answer yes or no.	Yes	No
commonsense_reasoning	0052.txt	I want to gain weight. Is the food in the picture an appropriate choice? Please answer yes or no.	No	Yes
commonsense_reasoning	0033.txt	This is a picture from a real scene. Is there only two real apples in this picture? Please answer yes or no.	No	Yes
count	000000430286.txt	Are there only two remotes in this image? Please answer yes or no.	No	Yes
count	000000432468.txt	Is there a zipper in the picture? Please answer yes or no.	No	Yes
count	000000372819.txt	Are there only three dogs appear in this image? Please answer yes or no.	No	Yes
count	000000410612.txt	Is there a total of two ships in the picture? Please answer yes or no.	No	Yes
count	000000276434.txt	Is there a total of three cakes in this image? Please answer yes or no.	Yes	No
count	000000276434.txt	Are there only two cakes in this image? Please answer yes or no.	No	Yes
count	000000438304.txt	Are there only one tennis racket in the picture? Please answer yes or no.	No	Yes
count	000000357816.txt	Are there five people in this image? Please answer yes or no.	No	Yes
count	000000236721.txt	Are there three bananas in the image? Please answer yes or no.	No	Yes
count	000000274066.txt	Are there only three people appear in this image? Please answer yes or no.	No	Yes
count	000000450303.txt	Are there seven people appear in this image? Please answer yes or no.	No	Yes
count	000000556000.txt	Are there only three people in the image? Please answer yes or no.	No	Yes
existence	000000537812.txt	Is there a chair in this image? Please answer yes or no.	Yes	No
landmark	00f4fb71575efb0b.txt	Is this a picture of 1965)? Please answer yes or no.	Yes	No
landmark	092d0859ff6424de.txt	Is this a photo of Kasteel Lunenburg? Please answer yes or no.	Yes	No
landmark	015543ddea466c54.txt	Is this a picture of Galician market square in Skansen, Sanok? Please answer yes or no.	Yes	No
landmark	006e3342b57aa3b4.txt	Is this a photo of Geitgallien? Please answer yes or no.	No	Yes
landmark	01e198bea8285816.txt	Is this an image of Hoher Markt, Vienna? Please answer yes or no.	No	Yes
landmark	0bd72080836eac97.txt	Is this a picture of Gouffre Berger? Please answer yes or no.	No	Yes
landmark	04ebe2885134597f.txt	Is this a picture of Imogiri? Please answer yes or no.	No	Yes
landmark	0e0511c6e33636ca.txt	Is this a picture of Victoria Stadium? Please answer yes or no.	Yes	No
landmark	10a944858a4283e0.txt	Is this a picture of Kartause Ittingen? Please answer yes or no.	No	Yes
landmark	0200cce957e9c4a6.txt	Is this a photo of Monte Lema? Please answer yes or no.	No	Yes
landmark	11b6bb2c35f4ee22.txt	Is this an image of Ku-ring-gai Chase National Park? Please answer yes or no.	Yes	No
landmark	0237fc92f6b31aeb.txt	Is this a photo of St Thomas Rest Park? Please answer yes or no.	No	Yes
landmark	01425c4d35880aad.txt	Is this an image of Museu de Sant Boi de Llobregat? Please answer yes or no.	Yes	No
landmark	09232aeaf46dec64.txt	Is this a picture of Gwangtonggwan? Please answer yes or no.	No	Yes
landmark	010260e62e7d847d.txt	Is this a photo of Teutsche Schule (Schleusingen)? Please answer yes or no.	No	Yes
landmark	010b5b5c9c461f65.txt	Is this an image of Castello di Montalto Dora? Please answer yes or no.	No	Yes
landmark	03f65f52c0077b6c.txt	Is this a photo of Reading Lighthouse? Please answer yes or no.	Yes	No
landmark	0743e58605497887.txt	Is this an image of Burg Horn? Please answer yes or no.	No	Yes
landmark	05b01b255cec2bfb.txt	Is this a photo of Puthoorppilly Sree Krishnaswamy Temple? Please answer yes or no.	Yes	No
landmark	0a3035bfca2ab920.txt	Is this an image of Montmayeur castle? Please answer yes or no.	No	Yes
landmark	029431b10472c228.txt	Is this a picture of Santa Caterina (Sassari)? Please answer yes or no.	Yes	No
landmark	029431b10472c228.txt	Is this a picture of Former Tainan Assembly Hall? Please answer yes or no.	No	Yes
landmark	0273f127895337be.txt	Is this a photo of Huxi Mosque? Please answer yes or no.	No	Yes
landmark	06134984e2aa9bcc.txt	Is this a picture of Goldeck? Please answer yes or no.	No	Yes
